% NO2 AMF
% Latitude (°)                    :  80.05
% Longitude (°)                   : -86.42
% Wavelength (nm)                 : 437.00
% Year  Fractional day   SZA (°)    NO2 AMF
  2015    128.24900       82.90       6.92
  2015    128.25160       82.89       6.91
  2015    128.25420       82.87       6.90
  2015    128.25680       82.86       6.89
  2015    128.25940       82.83       6.87
  2015    128.26200       82.81       6.86
  2015    128.26470       82.79       6.84
  2015    128.26730       82.76       6.82
  2015    128.26990       82.73       6.80
  2015    128.27250       82.69       6.78
  2015    128.27510       82.66       6.75
  2015    128.27780       82.62       6.73
  2015    128.28040       82.58       6.70
  2015    128.28300       82.53       6.67
  2015    128.28550       82.49       6.65
  2015    128.28800       82.44       6.62
  2015    128.29050       82.39       6.58
  2015    128.29300       82.34       6.55
  2015    128.29550       82.29       6.52
  2015    128.29800       82.24       6.49
  2015    128.30030       82.18       6.45
  2015    128.30270       82.13       6.42
  2015    128.30510       82.07       6.38
  2015    128.30750       82.00       6.35
  2015    128.30990       81.94       6.31
  2015    128.31230       81.88       6.27
  2015    128.31470       81.81       6.23
  2015    128.31710       81.74       6.20
  2015    128.31940       81.67       6.16
  2015    128.32180       81.60       6.12
  2015    128.32420       81.53       6.08
  2015    128.33620       81.13       5.87
  2015    128.33840       81.05       5.83
  2015    128.34050       80.97       5.79
  2015    128.34270       80.89       5.75
