% O3 AMF
% Latitude (°)                    :  80.05
% Longitude (°)                   : -86.42
% Day number                      :  61.0
% Wavelength (nm)                 : 505.00
% Albedo                          : 0.79
% Altitude of the station (km)    : 0.60
% First column: SZA (°), second column: O3 SCD (molec/cm2), third column: O3 AMF
  91.92 0.1277E+21  22.913
  91.85 0.1260E+21  22.684
  91.77 0.1244E+21  22.433
  91.70 0.1226E+21  22.200
  91.63 0.1204E+21  21.957
  91.56 0.1186E+21  21.728
  91.49 0.1167E+21  21.491
  91.43 0.1139E+21  21.257
  91.36 0.1121E+21  21.025
  91.30 0.1100E+21  20.810
  91.24 0.1080E+21  20.600
  91.18 0.1066E+21  20.406
  91.12 0.1043E+21  20.183
  91.07 0.1027E+21  20.010
  91.01 0.1007E+21  19.796
  90.95 0.9928E+20  19.599
  90.89 0.9684E+20  19.373
  90.84 0.9506E+20  19.192
  90.78 0.9333E+20  18.986
  90.56 0.8634E+20  18.216
  90.50 0.8461E+20  18.012
  90.45 0.8211E+20  17.794
  90.40 0.8111E+20  17.629
  90.34 0.7945E+20  17.408
  90.29 0.7794E+20  17.219
  90.24 0.7612E+20  17.015
  90.19 0.7474E+20  16.836
  90.14 0.7294E+20  16.637
  90.08 0.7164E+20  16.445
  90.03 0.6971E+20  16.244
  89.98 0.6849E+20  16.081
  89.93 0.6699E+20  15.905
  89.88 0.6524E+20  15.720
  89.83 0.6385E+20  15.555
  89.78 0.6237E+20  15.386
  89.74 0.6095E+20  15.242
  89.69 0.5948E+20  15.078
  89.64 0.5824E+20  14.926
  89.59 0.5683E+20  14.768
  89.41 0.5138E+20  14.198
  87.27 0.1372E+19   9.414
  87.26 0.1186E+19   9.398
  87.25 0.1542E+19   9.399
  87.24 0.1324E+19   9.382
  87.23 0.7867E+18   9.356
  87.23 0.9268E+18   9.360
  87.22 0.7267E+18   9.344
  87.21 0.3494E+18   9.322
  87.21 0.6362E+18   9.331
  87.20 0.1965E+18   9.307
  87.20 -.4860E+17   9.300
  87.20 0.1735E+18   9.307
  87.19 -.3775E+17   9.290
  87.19 -.3846E+17   9.290
  87.19 0.1226E+18   9.295
  87.18 -.2471E+18   9.274
  87.18 -.1762E+17   9.281
  87.18 -.2604E+18   9.273
  87.18 0.2321E+18   9.288
